po_number,po_date,vendor_id,sku,description,uom,qty,rate,po_value,plant
PO/2026/1400,2026-01-20,V-1009,BV-124,"8"" Lug Type Butterfly Valve",Nos,13,17773.86,231060.18,Pune-Bhosari
PO/2026/1401,2025-10-20,FTV-1052,CP-162,1 HP Monoblock Centrifugal Pump,Nos,7,90611.52,634280.64,Coimbatore
PO/2026/1402,2025-12-26,V-1027,BV-111,"3"" Wafer Type Butterfly Valve",Nos,64,5054.13,323464.32,Pune-Bhosari
PO/2026/1403,2025-05-17,FTV-1050,CP-137,5 HP End-Suction Centrifugal Pump,Nos,6,181670.54,1090023.24,Vadodara
PO/2026/1404,2026-02-10,V-1043,CP-108,5 HP End-Suction Centrifugal Pump,Nos,5,121911.47,609557.35,Pune-Bhosari
PO/2026/1405,2025-12-13,V-1004,GV-126,"2"" CI Class 125 Gate Valve",Nos,91,23420.5,2131265.5,Pune-Bhosari
PO/2026/1406,2025-11-07,V-1031,CP-131,20 HP Multistage Centrifugal Pump,Nos,16,75855.45,1213687.2,Pune-Bhosari
PO/2026/1407,2025-10-09,FTV-1046,GV-112,"3"" CI Class 125 Gate Valve",Nos,5,10974.58,54872.9,Coimbatore
PO/2026/1408,2025-12-29,FTV-1049,SM-106,1 HP Borewell Submersible Pump,Nos,1,109795.32,109795.32,Vadodara
PO/2026/1409,2025-09-13,V-1022,SP-117,Impeller Kit Spares Kit,Nos,30,6680.08,200402.4,Pune-Bhosari
PO/2026/1410,2026-05-15,V-1019,GV-136,"6"" CS Class 150 Gate Valve",Nos,33,1692.72,55859.76,Vadodara
PO/2026/1411,2025-07-11,V-1028,CP-111,15 HP Process Centrifugal Pump,Nos,9,13457.02,121113.18,Vadodara
PO/2026/1412,2026-07-20,V-1033,SP-115,Mechanical Seal Kit Spares Kit,Nos,150,280.04,42006.0,Coimbatore
PO/2026/1413,2026-07-10,V-1027,CP-119,3 HP End-Suction Centrifugal Pump,Nos,1,130338.02,130338.02,Vadodara
PO/2026/1414,2025-09-29,FTV-1046,SM-106,1 HP Borewell Submersible Pump,Nos,5,91837.66,459188.3,Vadodara
PO/2026/1415,2025-04-26,V-1023,SP-118,Coupling Kit Spares Kit,Nos,20,457.89,9157.8,Coimbatore
