vendor_id,vendor_name,gstin,city,state,payment_terms_days,msme_registered,source_system
V-1001,Om Polymers,08YRYXX64581ZK,Jaipur,RJ,45,Y,DRISHTI
V-1002,Sharma Forgings & Co,27GCAXM33391ZG,Mumbai,MH,60,N,DRISHTI
V-1003,Krishna Polymers,27PHLXS50731ZB,Mumbai,MH,45,N,DRISHTI
V-1004,Mahalaxmi Rubber Products Pvt Ltd,27LVWXK58591ZK,Mumbai,MH,30,Y,DRISHTI
V-1005,Jyoti Castings,27NSTLD88171ZJ,Nashik,MH,45,N,DRISHTI
V-1006,Micro Electricals,08VNMXL22061ZJ,Jaipur,RJ,45,Y,DRISHTI
V-1007,National Engineering Works Pvt Ltd,27MNVVP98391ZH,Nashik,MH,60,Y,DRISHTI
V-1008,Reliable Fasteners Pvt Ltd,29WMBGM07441ZB,Bengaluru,KA,30,Y,DRISHTI
V-1009,Everest Forgings,03VFQUY66131ZC,Ludhiana,PB,60,Y,DRISHTI
V-1010,Sri Venkatesh Seals & Gaskets,03XNCSY79341ZJ,Ludhiana,PB,30,Y,DRISHTI
V-1011,Sharma Bearings & Co,29XBJJU05331ZB,Bengaluru,KA,45,Y,DRISHTI
V-1012,Everest Fasteners,24QEQMF75061ZA,Vadodara,GJ,60,Y,DRISHTI
V-1013,Reliable Steel Traders,36TXDNU59181ZE,Hyderabad,TS,45,N,DRISHTI
V-1014,Perfect Forgings Pvt Ltd,29HJGMU44341ZJ,Bengaluru,KA,60,Y,DRISHTI
V-1015,Jyoti Bearings & Co,24FYXRK78691ZC,Ahmedabad,GJ,45,N,DRISHTI
V-1016,Pioneer Steel Traders Pvt Ltd,27QGUTP56171ZG,Mumbai,MH,30,Y,DRISHTI
V-1017,Pioneer Castings Pvt Ltd,33TERNG82321ZA,Chennai,TN,45,Y,DRISHTI
V-1018,Perfect Industrial Supplies Pvt Ltd,27CACSP93761ZG,Pune,MH,45,N,DRISHTI
V-1019,National Packaging,29ZXSWS93931ZA,Bengaluru,KA,45,N,DRISHTI
V-1020,Ganesh Electricals Pvt Ltd,27YVCUH95351ZC,Nashik,MH,60,Y,DRISHTI
V-1021,Om Castings,24NQZHL14371ZC,Vadodara,GJ,30,N,DRISHTI
V-1022,Sharma Hydraulics,33UFANL91601ZJ,Coimbatore,TN,30,N,DRISHTI
V-1023,Jyoti Engineering Works,33RUHRA94961ZG,Chennai,TN,45,Y,DRISHTI
V-1024,Mahalaxmi Engineering Works,33WJMLV86311ZC,Chennai,TN,45,Y,DRISHTI
V-1025,Hindustan Metals & Co,27RCJTD79021ZK,Pune,MH,30,Y,DRISHTI
V-1026,Micro Fasteners & Co,08CDKPH76181ZJ,Jaipur,RJ,45,Y,DRISHTI
V-1027,Shakti Hydraulics,24ZRWRY37781ZJ,Ahmedabad,GJ,30,Y,DRISHTI
V-1028,Ganesh Seals & Gaskets,24ACSSU80351ZC,Vadodara,GJ,30,Y,DRISHTI
