duplicate_legacy_id,original_legacy_id,duplicate_name,original_name,duplicate_migrated,original_migrated
C-5041,C-5001,Tirupati Pump House (South),Tirupati Pump House,Y,N
C-5042,C-5002,Sundaram Sales Corporation (South),Sundaram Sales Corporation,N,N
C-5043,C-5003,Bluewave Infra (South),Bluewave Infra,N,Y
C-5044,C-5004,Prakash Irrigation Stores (South),Prakash Irrigation Stores,N,Y
C-5045,C-5005,Pravin Pump Sales (South),Pravin Pump Sales,N,Y
C-5046,C-5006,Northern Pump House (South),Northern Pump House,Y,Y
C-5047,C-5007,Agarwal Pumps & Motors (South),Agarwal Pumps & Motors,Y,Y
C-5048,C-5008,Vindhya Industrial Corp (South),Vindhya Industrial Corp,Y,Y
C-5049,C-5009,Godavari Agri Pumps (South),Godavari Agri Pumps,N,N
C-5050,C-5010,Rathi Brothers (North),Rathi Brothers,Y,N
C-5051,C-5011,Malwa Machinery Mart (North),Malwa Machinery Mart,Y,Y
C-5052,C-5012,Hitech Water Solutions (North),Hitech Water Solutions,Y,Y
C-5053,C-5013,Metro Fluid Controls (North),Metro Fluid Controls,Y,N
C-5054,C-5014,Lakshmi Industrial Agencies (North),Lakshmi Industrial Agencies,N,N
C-5082,C-5014,LAKSHMI INDUSTRIAL AGENCIES,Lakshmi Industrial Agencies,Y,N
C-5055,C-5015,Techno Flow Solutions (North),Techno Flow Solutions,N,Y
C-5056,C-5016,Krishna Sagar Enterprises (South),Krishna Sagar Enterprises,Y,Y
C-5057,C-5017,Crystal Aqua Systems (North),Crystal Aqua Systems,Y,Y
C-5058,C-5018,Navkar Trading Co (South),Navkar Trading Co,Y,Y
C-5059,C-5019,Apex Engineering Projects (II),Apex Engineering Projects,Y,N
C-5083,C-5019,APEX ENGINEERING PROJECTS,Apex Engineering Projects,Y,N
C-5060,C-5020,Everflow Marketing (North),Everflow Marketing,Y,Y
C-5084,C-5020,EVERFLOW MARKETING,Everflow Marketing,Y,Y
C-5061,C-5021,Kaveri Engineering Sales (II),Kaveri Engineering Sales,N,Y
C-5062,C-5022,Emerald Pumping Solutions (North),Emerald Pumping Solutions,N,N
C-5063,C-5023,Shree Datta Agencies (South),Shree Datta Agencies,Y,Y
C-5064,C-5024,Dhanlaxmi Distributors (North),Dhanlaxmi Distributors,N,N
C-5081,C-5024,DHANLAXMI DISTRIBUTORS,Dhanlaxmi Distributors,Y,N
C-5065,C-5025,Falcon Industrial Sales (North),Falcon Industrial Sales,N,Y
C-5066,C-5026,Bharat Pump Centre (North),Bharat Pump Centre,Y,Y
C-5067,C-5027,Ujjwal Engineering (South),Ujjwal Engineering,Y,Y
C-5068,C-5028,Sagar Hydro Systems (II),Sagar Hydro Systems,Y,Y
C-5069,C-5029,Western Flow Controls (South),Western Flow Controls,Y,Y
C-5085,C-5029,WESTERN FLOW CONTROLS,Western Flow Controls,Y,Y
C-5070,C-5030,Himgiri Traders (North),Himgiri Traders,Y,Y
C-5071,C-5031,Quality Fluid Systems (South),Quality Fluid Systems,Y,N
C-5072,C-5032,Marudhar Machinery (North),Marudhar Machinery,Y,N
C-5073,C-5033,Rajdhani Engineering Co (South),Rajdhani Engineering Co,N,N
C-5074,C-5034,Chola Pump Distributors (South),Chola Pump Distributors,N,N
C-5075,C-5035,Ganga Valley Traders (II),Ganga Valley Traders,Y,N
C-5076,C-5036,Zenith Pump Solutions (South),Zenith Pump Solutions,N,Y
C-5077,C-5037,Orient Flow Equipments (North),Orient Flow Equipments,Y,Y
C-5078,C-5038,Sri Balaji Agencies (North),Sri Balaji Agencies,N,Y
C-5079,C-5039,Yamuna Industrial Traders (South),Yamuna Industrial Traders,Y,Y
C-5080,C-5040,Vasavi Sales & Service (North),Vasavi Sales & Service,Y,N
