invoice_number,vendor_id_inv,vendor_id_po,inv_master_name,po_vendor_name,inv_gstin,po_gstin,po_number
INV-OPP-0083,V-1060,V-1001,OM POLYMERS PVT. LTD.,Om Polymers,08YRYXX64581ZA,08YRYXX64581ZK,PO/2026/1547
JCP00153,V-1057,V-1008,JYOTI CASTINGS PVT. LTD.,Reliable Fasteners Pvt Ltd,27NSTLD88171ZJ,29WMBGM07441ZB,PO/2026/1513
ATP/2026/251,V-1056,V-1042,APEX TOOLS PVT. LTD.,Apex Tools,24LEBED64501ZJ,24LEBED64501ZJ,PO/2026/1417
INV-PFP-0109,V-1059,V-1044,PERFECT FORGINGS PVT. LTD.,Universal Steel Traders,29HJGMU44341ZJ,27LLVEF92191ZG,PO/2026/1620
ATP00249,V-1056,V-1009,APEX TOOLS PVT. LTD.,Everest Forgings,24LEBED64501ZJ,03VFQUY66131ZC,PO/2026/1578
INV-PFP-0107,V-1059,V-1027,PERFECT FORGINGS PVT. LTD.,Shakti Hydraulics,29HJGMU44341ZJ,24ZRWRY37781ZJ,PO/2026/1413
ATP00250,V-1056,V-1021,APEX TOOLS PVT. LTD.,Om Castings,24LEBED64501ZJ,24NQZHL14371ZC,PO/2026/1420
INV-JCP-0155,V-1057,V-1005,JYOTI CASTINGS PVT. LTD.,Jyoti Castings,27NSTLD88171ZJ,27NSTLD88171ZJ,PO/2026/1523
JCP00154,V-1057,FTV-1049,JYOTI CASTINGS PVT. LTD.,Sunrise Rubber Products Pvt Ltd,27NSTLD88171ZJ,08AXDCC52971ZK,PO/2026/1575
JCP/2026/152,V-1057,V-1003,JYOTI CASTINGS PVT. LTD.,Krishna Polymers,27NSTLD88171ZJ,27PHLXS50731ZB,PO/2026/1552
INV-OPP-0082,V-1060,V-1028,OM POLYMERS PVT. LTD.,Ganesh Seals & Gaskets,08YRYXX64581ZA,24ACSSU80351ZC,PO/2026/1517
JCP/2026/156,V-1057,FTV-1054,JYOTI CASTINGS PVT. LTD.,Reliable Castings,27NSTLD88171ZJ,33ZZSWN99991ZA,PO/2026/1636
