invoice_number,starter_status,new_status,changed,reason
AS&/2026/120,QTY_MISMATCH,QTY_MISMATCH,False,
AST00245,CLEAN,CLEAN,False,
AST00246,RATE_MISMATCH,RATE_MISMATCH,False,
AST00247,CLEAN,CLEAN,False,
AT/2026/122,CLEAN,CLEAN,False,
AT/2026/124,CLEAN,CLEAN,False,
AT/2026/126,CLEAN,CLEAN,False,
AT00125,QTY_MISMATCH,QTY_MISMATCH,False,
ATP/2026/251,VENDOR_MISMATCH,VENDOR_MISMATCH,False,
ATP00249,VENDOR_MISMATCH,VENDOR_MISMATCH,False,
ATP00250,VENDOR_MISMATCH,VENDOR_MISMATCH,False,
DPP/2026/230,MISSING_PO,MISSING_PO,False,
DPP/2026/233,GST_ERROR,GST_ERROR,False,
DPP/2026/234,CLEAN,CLEAN,False,
DPP00231,CLEAN,CLEAN,False,
DPP00232,CLEAN,CLEAN,False,
DPP00235,CLEAN,CLEAN,False,
EF/2026/150,CLEAN,CLEAN,False,
EF/2026/156,MISSING_PO,MISSING_PO,False,
EF00152,RATE_MISMATCH,RATE_MISMATCH,False,
EF00153,CLEAN,CLEAN,False,
EF00154,CLEAN,CLEAN,False,
GEP/2026/198,CLEAN,CLEAN,False,
GEP/2026/199,CLEAN,CLEAN,False,
GEP/2026/203,CLEAN,CLEAN,False,
GEP00200,CLEAN,CLEAN,False,
GEP00204,DUPLICATE_INVOICE,DUPLICATE_INVOICE,False,
GEW00126,CLEAN,CLEAN,False,
GEW00127,CLEAN,CLEAN,False,
GS&00223,CLEAN,CLEAN,False,
GS&00224,GST_ERROR,GST_ERROR,False,
HM&/2026/142,CLEAN,CLEAN,False,
HM&/2026/143,CLEAN,CLEAN,False,
HM&/2026/145,CLEAN,CLEAN,False,
HM&/2026/146,CLEAN,CLEAN,False,
HM&00144,CLEAN,CLEAN,False,
HP/2026/215,CLEAN,CLEAN,False,
HP00209,CLEAN,CLEAN,False,
HP00211,CLEAN,CLEAN,False,
HP00212,CLEAN,CLEAN,False,
HP00214,MISSING_PO,MISSING_PO,False,
INV-AT-0121,CLEAN,CLEAN,False,
INV-AT-0123,CLEAN,CLEAN,False,
INV-DPP-0229,CLEAN,CLEAN,False,
INV-EF-0151,QTY_MISMATCH,QTY_MISMATCH,False,
INV-EF-0155,UOM_MISMATCH,UOM_MISMATCH,False,
INV-GEP-0197,CLEAN,CLEAN,False,
INV-GEP-0201,CLEAN,CLEAN,False,
INV-GEP-0202,CLEAN,CLEAN,False,
INV-GEW-0125,CLEAN,CLEAN,False,
INV-GS&-0222,RATE_MISMATCH,RATE_MISMATCH,False,
INV-HP-0210,UOM_MISMATCH,UOM_MISMATCH,False,
INV-HP-0213,CLEAN,CLEAN,False,
INV-JB&-0288,UOM_MISMATCH,UOM_MISMATCH,False,
INV-JC-0142,CLEAN,CLEAN,False,
INV-JC-0143,CLEAN,CLEAN,False,
