invoice_number,status,reason,invoice_date,vendor_id,vendor_name_on_invoice,po_number,sku,uom,qty,rate,taxable_value,gst_rate_pct,gst_amount,invoice_total,raw_missing_po,raw_vendor_mismatch,raw_uom_mismatch,raw_qty_mismatch,raw_rate_mismatch,raw_gst_error,raw_duplicate,raw_flag_count
SST00139,GST_ERROR,"GST mismatch: invoice=9023.6, expected=13535.4, diff=4511.80",2025-06-14,V-1041,Sunrise Steel Traders & Co,PO/2026/1546,BV-111,Nos,13,5784.36,75196.68,18,9023.6,84220.28,False,False,False,False,False,True,False,1
AST00245,CLEAN,All checks passed,2025-10-18,FTV-1045,Accurate Steel Traders,PO/2026/1589,FT-1400,Nos,20,52286.02,1045720.4,18,188229.67,1233950.07,False,False,False,False,False,False,False,0
INV-DPP-0229,CLEAN,All checks passed,2025-08-15,FTV-1050,Deccan Polymers Pvt Ltd,PO/2026/1464,CP-155,Nos,6,145245.26,871471.56,18,156864.88,1028336.44,False,False,False,False,False,False,False,0
SH00059,CLEAN,All checks passed,2026-04-12,V-1022,Sharma Hydraulics,PO/2026/1593,GV-133,Nos,190,1450.43,275581.7,18,49604.71,325186.41,False,False,False,False,False,False,False,0
INV-SP&-0294,MISSING_PO,PO 'PO/2026/9019' not found in purchase order master,2025-11-12,V-1040,Sharma Packaging & Co,PO/2026/9019,GV-107,Nos,121,9270.93,1121782.53,18,201920.86,1323703.39,True,False,False,False,False,False,False,1
SF&/2026/236,CLEAN,All checks passed,2026-03-14,V-1002,Sharma Forgings & Co,PO/2026/1436,FT-1407,Nos,6,74143.67,444862.02,18,80075.16,524937.18,False,False,False,False,False,False,False,0
INV-JEW-0156,CLEAN,All checks passed,2025-08-03,V-1023,Jyoti Engineering Works,PO/2026/1630,CP-103,Nos,20,66025.75,1320515.0,18,237692.7,1558207.7,False,False,False,False,False,False,False,0
INV-SP&-0295,CLEAN,All checks passed,2025-06-09,V-1040,Sharma Packaging & Co,PO/2026/1632,CP-152,Nos,18,84336.75,1518061.5,18,273251.07,1791312.57,False,False,False,False,False,False,False,0
INV-KP&-0282,CLEAN,All checks passed,2026-04-05,V-1043,Krishna Packaging & Co,PO/2026/1482,FT-1407,Nos,5,77929.94,389649.7,18,70136.95,459786.65,False,False,False,False,False,False,False,0
TRP00185,CLEAN,All checks passed,2025-09-29,V-1033,Trimurti Rubber Products Pvt Ltd,PO/2026/1649,FT-1407,Nos,10,83198.82,831988.2,18,149757.88,981746.08,False,False,False,False,False,False,False,0
KM/2026/162,CLEAN,All checks passed,2025-11-05,FTV-1046,Kohinoor Metals,PO/2026/1424,CP-163,Nos,9,67245.67,605211.03,18,108937.99,714149.02,False,False,False,False,False,False,False,0
